Step,agent.entropy_alpha: 0.01 - evaluation/episode.return,agent.entropy_alpha: 0.01 - evaluation/episode.return__MIN,agent.entropy_alpha: 0.01 - evaluation/episode.return__MAX,agent.entropy_alpha: 0.2 - evaluation/episode.return,agent.entropy_alpha: 0.2 - evaluation/episode.return__MIN,agent.entropy_alpha: 0.2 - evaluation/episode.return__MAX,agent.entropy_alpha: 0.05 - evaluation/episode.return,agent.entropy_alpha: 0.05 - evaluation/episode.return__MIN,agent.entropy_alpha: 0.05 - evaluation/episode.return__MAX,agent.entropy_alpha: 0.1 - evaluation/episode.return,agent.entropy_alpha: 0.1 - evaluation/episode.return__MIN,agent.entropy_alpha: 0.1 - evaluation/episode.return__MAX
0,7.935942089,2.704517839,13.16736634,2.977887383,2.851807987,3.103966779,7.458838244,2.647706116,12.26997037,6.406573921,2.953573108,13.07307733
100000,1771.966986,1259.565371,2284.368601,2715.180567,2275.387311,3154.973823,3285.456978,3265.022411,3305.891544,1579.73024,1011.037423,2433.717209
200000,3333.555526,3290.296667,3376.814384,2732.689096,2419.896003,3045.482188,2864.050162,2178.564556,3549.535767,1392.019264,1131.90976,1700.504597
300000,3244.418646,3032.249346,3356.587947,2673.308956,2512.444888,2834.173025,2474.060095,1549.684385,3398.435805,1648.193625,1477.943981,1933.753497
400000,3408.094349,3380.33312,3435.855578,2687.831817,2023.525901,3352.137732,3528.372627,3441.624606,3615.120648,1900.185503,1605.773746,2190.959658
500000,3283.158872,3138.617993,3627.699751,2710.86487,2438.766224,2982.963517,3819.854969,3492.008771,4147.701166,1856.911396,1740.554581,2057.264018
600000,3499.316434,3391.945052,3606.687816,3030.651683,2467.625247,3593.678118,2806.484001,2084.159565,3528.808437,1685.923324,1547.828151,1880.731269
700000,3637.081327,3614.903622,3659.259032,3366.307373,2987.69528,3544.919467,2897.760946,2204.355161,3591.166731,1662.022302,1432.191584,1891.853019
800000,3346.189632,3015.506415,3676.872848,3642.988236,3642.988236,3642.988236,2990.601652,2333.462223,3647.741081,1940.787721,1859.460518,2022.114924
900000,3672.304515,3635.489732,3709.119297,3685.900263,3585.900263,3705.900263,2890.712604,2321.571604,3459.853604,1906.200977,1872.111399,1940.290555
1000000,3639.465844,3441.080209,3837.851479,3697.31997,3533.31997,3797.31997,2990.983176,2323.685931,3658.280421,1708.0871,1613.376242,1802.797958
