SAC Flow-T,,SAC Flow-G,,FlowRL,,DIME,,QSM,,SAC,,PPO,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.056970509,-0.002727265,0.056970509,0,0.056970509,0,0.056970509,0,0.056970509,0,0.051608579,-0.002780178,0.056970509,0
0.06769437,-0.007555648,0.06769437,0,0.06769437,0,0.06769437,0,0.06769437,0,0.063002681,0.002266474,0.06769437,0
0.081769437,-0.007416749,0.081769437,0,0.081769437,0,0.081769437,0,0.081769437,0,0.079088472,-0.002508995,0.081769437,0
0.101876676,-0.012152533,0.101876676,0,0.101876676,0,0.101876676,0,0.101876676,0,0.082439678,0.046866181,0.101876676,0
0.127345845,-0.031638034,0.127345845,0,0.127345845,0,0.127345845,0,0.127345845,0,0.08310992,0.096214901,0.127345845,0
0.154155496,-0.031373466,0.154155496,0,0.154155496,0,0.154155496,0,0.154155496,0,0.085120643,0.145576848,0.154155496,0
0.182975871,-0.036023264,0.182975871,0,0.182975871,0,0.182975871,0,0.182975871,0,0.091152815,0.145636376,0.182975871,0
0.233243968,-0.010856145,0.233243968,0,0.233243968,0,0.233243968,0,0.233243968,0,0.101206434,0.155604011,0.233243968,0
0.27077748,-0.000617328,0.27077748,0,0.27077748,0,0.27077748,0,0.27077748,0,0.110589812,0.15569661,0.27077748,0
0.3230563,-0.005035629,0.3230563,0,0.3230563,0,0.3230563,0,0.3230563,0,0.119302949,0.155782595,0.3230563,0
0.366621984,-0.004605704,0.366621984,0,0.366621984,0,0.366621984,0,0.366621984,0,0.123324397,0.15582228,0.366621984,0
0.423592493,-0.004043495,0.423592493,0,0.423592493,0,0.423592493,0,0.423592493,0,0.128016086,0.111460685,0.423592493,0
0.510723861,-0.008117857,0.510723861,0,0.510723861,0,0.510723861,0,0.510723861,0,0.129356568,0.067066019,0.510723861,0
0.565683646,-0.00264128,0.565683646,0,0.565683646,0,0.565683646,0,0.565683646,0,0.134048257,-0.001966629,0.565683646,0
0.638739946,-0.001920329,0.638739946,0,0.638739946,0,0.638739946,0,0.638739946,0,0.15080429,-0.016603905,0.638739946,0
0.672922252,-0.011451425,0.672922252,0,0.672922252,0,0.672922252,0,0.672922252,0,0.168230563,-0.016431935,0.672922252,0
0.773458445,-0.035130344,0.773458445,0,0.773458445,0,0.773458445,0,0.773458445,0,0.192359249,-0.030996455,0.773458445,0
0.809651475,-0.000233703,0.809651475,0,0.809651475,0,0.809651475,0,0.809651475,0,0.260053619,-0.000723155,0.809651475,0
0.896112601,0.015422164,0.896112601,0,0.896112601,0,0.896112601,0,0.896112601,0,0.397453083,-0.00923566,0.896112601,0
0.990616622,0.006486348,0.990616622,0,0.990616622,0,0.990616622,0,0.990616622,0,0.601206434,0.002643485,0.990616622,0
,,,,,,,,,,0.801608579,-0.000313073,,
,,,,,,,,,,0.997319035,0.00655249,,
